team,res,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,stl,blk,tov,pf
CHA,L,108,42,87,48.3,15,35,42.9,9,12,75,14,30,44,32,11,5,18,15
GSW,L,104,38,81,46.9,11,29,37.9,17,24,70.8,5,38,43,29,9,4,19,25
DEN,W,114,41,90,45.6,11,37,29.7,21,27,77.8,10,40,50,29,11,5,13,23
MIA,L,108,40,81,49.4,12,34,35.3,16,26,61.5,9,32,41,28,4,1,20,19
PHI,W,125,44,82,53.7,17,37,45.9,20,24,83.3,5,30,35,27,15,3,18,22
IND,W,111,44,92,47.8,9,30,30,14,18,77.8,13,37,50,29,11,5,12,13
POR,L,87,32,87,36.8,13,43,30.2,10,10,100,14,29,43,16,8,5,18,22
TOR,W,111,40,88,45.5,20,50,40,11,13,84.6,13,27,40,33,13,6,17,16
SAS,L,105,42,92,45.7,9,31,29,12,16,75,10,31,41,26,10,4,10,17
DET,L,101,36,92,39.1,14,35,40,15,22,68.2,13,34,47,25,8,3,16,19
POR,W,132,44,90,48.9,23,48,47.9,21,27,77.8,12,26,38,28,9,8,8,24
DAL,W,104,40,96,41.7,15,46,32.6,9,16,56.3,13,41,54,22,8,12,10,15
MIL,W,110,41,85,48.2,19,43,44.2,9,14,64.3,10,38,48,31,10,9,14,20
BKN,W,116,44,91,48.4,16,40,40,12,17,70.6,12,34,46,29,3,5,6,12
CHA,L,93,38,100,38,10,38,26.3,7,14,50,15,38,53,26,8,7,11,17
MEM,W,118,50,106,47.2,8,25,32,10,13,76.9,15,32,47,33,11,5,7,24
LAC,W,111,35,74,47.3,18,37,48.6,23,27,85.2,3,33,36,26,4,6,10,16
NYK,L,109,44,92,47.8,11,28,39.3,10,12,83.3,12,31,43,22,4,3,9,16
NOP,L,106,42,88,47.7,10,28,35.7,12,16,75,12,36,48,18,4,4,9,19
OKC,L,99,37,86,43,10,31,32.3,15,19,78.9,9,33,42,23,4,6,11,21
SAC,L,126,44,84,52.4,19,38,50,19,26,73.1,8,34,42,35,4,2,13,18
MIN,L,107,39,90,43.3,9,37,24.3,20,24,83.3,11,37,48,27,3,6,12,18
LAL,W,128,47,95,49.5,17,37,45.9,17,22,77.3,12,38,50,26,6,6,9,16
HOU,L,100,38,97,39.2,12,40,30,12,16,75,10,32,42,23,14,5,13,19
GSW,L,95,34,89,38.2,13,38,34.2,14,22,63.6,10,36,46,25,8,8,15,21
UTA,W,117,42,84,50,24,45,53.3,9,12,75,10,38,48,26,8,8,16,16
IND,W,104,39,88,44.3,9,28,32.1,17,25,68,10,40,50,26,9,9,14,17
CLE,L,87,35,90,38.9,8,31,25.8,9,14,64.3,12,28,40,23,7,4,12,13
OKC,L,102,36,83,43.4,7,26,26.9,23,29,79.3,7,45,52,18,1,5,13,20
DEN,L,116,44,88,50,18,37,48.6,10,16,62.5,9,23,32,28,12,5,13,18
BKN,W,122,48,79,60.8,16,32,50,10,15,66.7,8,33,41,31,6,6,18,18
PHI,W,137,50,102,49,19,55,34.5,18,25,72,16,36,52,32,10,6,17,21
LAL,W,117,42,84,50,14,32,43.8,19,27,70.4,11,44,55,26,10,12,20,18
MIA,L,134,48,104,46.2,19,56,33.9,19,24,79.2,14,32,46,27,6,4,18,21
SAS,W,112,41,95,43.2,10,35,28.6,20,22,90.9,7,39,46,26,8,5,4,20
ATL,W,112,37,99,37.4,17,44,38.6,21,27,77.8,14,44,58,20,7,3,8,13
PHI,L,94,37,92,40.2,8,36,22.2,12,13,92.3,9,41,50,20,2,12,9,17
MIL,W,121,46,91,50.5,13,35,37.1,16,20,80,11,32,43,25,15,7,14,17
ORL,L,99,39,91,42.9,11,31,35.5,10,13,76.9,15,29,44,24,5,4,18,13
POR,W,112,38,83,45.8,14,42,33.3,22,25,88,8,34,42,18,9,6,13,14
IND,L,122,47,97,48.5,13,39,33.3,15,18,83.3,10,27,37,26,14,3,12,21
MEM,W,101,40,78,51.3,5,20,25,16,21,76.2,7,33,40,32,10,6,15,17
SAC,W,127,47,84,56,15,32,46.9,18,23,78.3,7,37,44,29,6,9,18,17
WAS,W,128,48,92,52.2,15,34,44.1,17,28,60.7,14,39,53,29,3,3,7,23
TOR,L,111,40,89,44.9,19,47,40.4,12,12,100,7,36,43,27,6,5,15,22
NYK,L,88,34,87,39.1,9,37,24.3,11,17,64.7,17,32,49,20,6,6,16,23
CHA,W,109,38,78,48.7,13,32,40.6,20,23,87,5,32,37,28,8,8,10,13
PHX,L,107,39,87,44.8,4,27,14.8,25,30,83.3,8,34,42,21,3,6,6,22
CLE,L,91,37,82,45.1,11,26,42.3,6,14,42.9,10,30,40,20,11,7,17,21
NYK,L,89,32,74,43.2,6,21,28.6,19,25,76,8,28,36,19,4,1,16,15
GSW,W,106,38,93,40.9,13,46,28.3,17,19,89.5,12,39,51,30,2,10,15,18
CHI,L,127,47,77,61,18,33,54.5,15,17,88.2,3,35,38,30,6,2,22,19
TOR,L,105,39,96,40.6,13,38,34.2,14,22,63.6,13,35,48,20,8,10,10,22
MIN,W,96,34,81,42,9,26,34.6,19,23,82.6,9,43,52,19,6,3,13,17
HOU,L,102,37,90,41.1,12,41,29.3,16,23,69.6,13,30,43,22,7,8,21,22
OKC,W,129,49,90,54.4,15,39,38.5,16,17,94.1,3,31,34,24,12,4,10,22
LAL,W,120,46,91,50.5,10,29,34.5,18,24,75,10,39,49,28,13,8,16,23
BKN,L,116,43,85,50.6,10,34,29.4,20,24,83.3,6,37,43,23,3,2,17,18
UTA,W,96,35,82,42.7,11,35,31.4,15,22,68.2,16,47,63,17,3,5,13,17
DET,L,86,29,87,33.3,10,42,23.8,18,21,85.7,11,28,39,21,10,7,7,23
SAS,L,88,36,94,38.3,8,30,26.7,8,14,57.1,9,36,45,21,4,5,10,16
LAC,W,130,45,92,48.9,20,38,52.6,20,25,80,12,23,35,28,13,5,10,19
DEN,W,114,45,84,53.6,15,35,42.9,9,12,75,8,35,43,23,11,4,12,25
ATL,L,105,34,89,38.2,14,45,31.1,23,28,82.1,17,30,47,25,10,4,14,22
MIL,W,100,37,84,44,12,36,33.3,14,18,77.8,11,34,45,25,11,4,15,14
WAS,L,124,44,99,44.4,15,40,37.5,21,28,75,7,32,39,25,9,2,6,24
MIN,L,122,48,96,50,15,30,50,11,17,64.7,11,42,53,29,1,7,16,20
PHI,L,103,43,103,41.7,11,35,31.4,6,10,60,20,28,48,23,8,4,16,19
POR,W,125,44,100,44,17,41,41.5,20,23,87,9,41,50,26,10,5,8,27
ORL,L,98,38,89,42.7,6,31,19.4,16,22,72.7,10,33,43,17,11,2,9,16
DAL,W,112,39,79,49.4,20,40,50,14,18,77.8,6,38,44,25,5,8,17,17
MIA,W,128,46,93,49.5,16,43,37.2,20,26,76.9,10,51,61,32,3,5,16,24
IND,L,117,44,92,47.8,12,29,41.4,17,24,70.8,13,39,52,23,2,4,10,19
SAS,W,125,44,101,43.6,13,32,40.6,24,29,82.8,12,36,48,22,8,3,6,19
CHA,W,113,40,77,51.9,15,33,45.5,18,24,75,6,35,41,27,11,7,15,19
SAC,L,99,33,81,40.7,8,30,26.7,25,35,71.4,6,41,47,21,4,5,15,20
CLE,L,90,36,87,41.4,7,26,26.9,11,16,68.8,14,33,47,16,6,4,15,18
PHX,W,125,46,94,48.9,16,41,39,17,17,100,4,36,40,33,6,2,2,17
DEN,W,115,45,90,50,12,33,36.4,13,15,86.7,15,30,45,28,11,7,17,12
NOP,L,110,38,77,49.4,15,38,39.5,19,26,73.1,10,26,36,29,6,4,19,17
PHX,L,105,41,91,45.1,17,52,32.7,6,13,46.2,9,41,50,24,10,7,21,25
CHI,L,115,46,91,50.5,10,26,38.5,13,14,92.9,9,32,41,26,10,3,12,23
GSW,W,115,40,82,48.8,20,41,48.8,15,18,83.3,9,29,38,25,13,3,15,19
SAC,L,123,46,81,56.8,15,34,44.1,16,28,57.1,3,23,26,36,9,8,11,18
OKC,W,101,38,87,43.7,11,34,32.4,14,21,66.7,11,51,62,16,2,7,11,19
LAC,L,105,40,83,48.2,14,31,45.2,11,13,84.6,10,27,37,23,6,5,18,16
MIL,L,118,44,98,44.9,13,42,31,17,21,81,9,36,45,18,5,5,12,19
DET,W,110,37,90,41.1,11,34,32.4,25,29,86.2,9,37,46,23,13,4,14,14
ORL,L,90,34,89,38.2,8,29,27.6,14,16,87.5,9,33,42,17,5,2,12,13
TOR,W,144,53,91,58.2,20,39,51.3,18,22,81.8,12,32,44,30,8,5,12,20
NYK,L,89,34,96,35.4,9,27,33.3,12,20,60,11,38,49,19,8,7,4,19
WAS,L,107,41,88,46.6,11,29,37.9,14,16,87.5,7,31,38,22,9,4,17,24
CHA,W,118,41,87,47.1,16,42,38.1,20,25,80,16,29,45,33,10,4,14,20
BOS,W,116,41,86,47.7,12,32,37.5,22,30,73.3,11,38,49,21,11,4,21,22
HOU,W,132,51,91,56,22,47,46.8,8,11,72.7,7,42,49,34,6,8,8,18
MEM,W,115,45,98,45.9,13,32,40.6,12,14,85.7,12,34,46,29,14,6,12,18
BKN,L,110,38,81,46.9,14,31,45.2,20,21,95.2,4,38,42,26,6,4,20,13
UTA,W,131,49,97,50.5,25,53,47.2,8,13,61.5,10,40,50,31,6,8,10,18
LAL,W,117,41,81,50.6,12,29,41.4,23,27,85.2,10,32,42,21,3,8,15,15
BKN,W,122,44,97,45.4,15,37,40.5,19,29,65.5,11,37,48,30,11,7,12,17
DAL,W,124,42,87,48.3,16,40,40,24,31,77.4,7,37,44,27,12,7,13,21
LAL,L,109,43,86,50,10,30,33.3,13,21,61.9,9,39,48,21,2,4,13,20
SAS,W,118,43,92,46.7,16,35,45.7,16,17,94.1,6,34,40,28,4,3,6,15
PHI,L,109,41,87,47.1,9,26,34.6,18,20,90,4,43,47,23,6,6,20,25
DEN,L,117,43,97,44.3,15,44,34.1,16,21,76.2,9,38,47,25,8,1,13,27
POR,W,135,49,90,54.4,18,41,43.9,19,23,82.6,6,38,44,25,10,6,15,23
CLE,W,94,36,79,45.6,13,30,43.3,9,16,56.3,7,30,37,24,11,3,15,14
MIN,L,117,39,93,41.9,14,41,34.1,25,33,75.8,15,33,48,24,11,4,16,19
MEM,L,90,36,83,43.4,11,31,35.5,7,8,87.5,11,37,48,27,13,6,18,17
WAS,L,136,47,94,50,16,37,43.2,26,35,74.3,9,26,35,27,9,2,13,27
BOS,W,107,42,99,42.4,12,35,34.3,11,12,91.7,16,37,53,22,7,5,7,23
ORL,W,105,40,81,49.4,12,29,41.4,13,18,72.2,8,35,43,20,4,4,15,22
IND,W,114,42,89,47.2,9,23,39.1,21,26,80.8,7,31,38,21,10,9,9,21
NOP,L,110,44,89,49.4,4,22,18.2,18,23,78.3,9,43,52,25,11,0,15,18
LAC,W,108,36,81,44.4,11,34,32.4,25,25,100,12,36,48,19,6,3,19,26
MIA,L,105,35,81,43.2,13,36,36.1,22,26,84.6,6,36,42,26,2,7,8,15
OKC,W,111,40,87,46,19,46,41.3,12,16,75,4,34,38,28,10,5,14,18
UTA,L,100,40,91,44,14,44,31.8,6,11,54.5,10,32,42,20,5,9,14,15
CHI,L,124,49,93,52.7,14,40,35,12,15,80,10,33,43,27,3,2,14,21
MIL,W,130,49,90,54.4,19,43,44.2,13,21,61.9,9,38,47,35,5,4,14,22
PHI,W,141,50,81,61.7,18,29,62.1,23,33,69.7,1,34,35,33,9,6,16,21
NYK,W,112,45,87,51.7,8,22,36.4,14,19,73.7,11,37,48,22,10,5,12,17
GSW,L,101,39,86,45.3,8,30,26.7,15,19,78.9,8,27,35,25,10,2,13,21
TOR,L,115,39,79,49.4,14,35,40,23,32,71.9,10,32,42,18,6,5,12,19
DET,L,115,38,97,39.2,13,41,31.7,26,30,86.7,15,32,47,20,6,3,9,20
SAC,W,128,47,91,51.6,14,37,37.8,20,27,74.1,12,27,39,30,8,3,7,16
CLE,L,94,36,85,42.4,4,26,15.4,18,26,69.2,13,32,45,24,9,4,10,19
ATL,L,94,36,96,37.5,7,40,17.5,15,18,83.3,12,45,57,25,6,1,13,25
HOU,L,107,39,81,48.1,8,30,26.7,21,26,80.8,5,34,39,19,7,12,16,22
CHA,W,102,32,85,37.6,11,36,30.6,27,33,81.8,8,41,49,22,11,7,9,14
PHX,W,123,40,83,48.2,21,40,52.5,22,24,91.7,8,33,41,30,4,3,10,23
LAC,L,113,43,86,50,15,35,42.9,12,13,92.3,7,38,45,29,6,7,13,16
SAS,W,116,44,96,45.8,20,40,50,8,11,72.7,11,33,44,23,9,3,10,13
BKN,W,130,52,93,55.9,14,36,38.9,12,16,75,8,43,51,31,11,5,12,22
UTA,L,96,33,86,38.4,11,34,32.4,19,27,70.4,9,32,41,17,6,3,15,18
DEN,W,123,41,79,51.9,8,25,32,33,45,73.3,10,32,42,22,9,2,14,27
POR,L,108,39,94,41.5,19,51,37.3,11,17,64.7,10,36,46,23,8,3,11,16
MIN,L,116,42,91,46.2,11,34,32.4,21,27,77.8,10,32,42,24,8,4,14,31
MEM,L,92,36,87,41.4,10,26,38.5,10,13,76.9,5,33,38,24,14,4,13,14
CHI,W,111,40,91,44,16,41,39,15,18,83.3,11,41,52,27,5,5,15,19
LAL,W,94,38,87,43.7,9,31,29,9,11,81.8,9,43,52,24,7,8,17,14
PHI,W,118,46,95,48.4,11,32,34.4,15,23,65.2,14,41,55,34,7,5,10,21
MIL,W,125,49,85,57.6,14,34,41.2,13,16,81.3,7,42,49,32,6,4,19,18
GSW,W,137,51,97,52.6,23,43,53.5,12,14,85.7,3,45,48,41,4,6,11,28
TOR,L,114,36,90,40,13,37,35.1,29,38,76.3,8,29,37,20,13,4,10,26
ATL,L,108,40,87,46,10,31,32.3,18,23,78.3,10,30,40,24,4,2,12,21
CLE,L,83,33,85,38.8,10,28,35.7,7,12,58.3,9,26,35,20,12,4,14,14
SAC,L,106,34,90,37.8,10,35,28.6,28,39,71.8,11,41,52,20,5,6,14,20
BOS,W,126,41,84,48.8,15,29,51.7,29,34,85.3,12,44,56,19,3,9,19,29
MIA,W,118,46,81,56.8,16,34,47.1,10,18,55.6,4,43,47,34,7,0,14,20
CHA,L,101,36,86,41.9,13,39,33.3,16,22,72.7,8,39,47,30,4,4,16,24
IND,W,118,45,93,48.4,19,45,42.2,9,13,69.2,5,37,42,32,10,8,14,27
DAL,W,113,39,82,47.6,16,39,41,19,20,95,10,41,51,24,4,3,15,31
ORL,W,103,38,88,43.2,15,34,44.1,12,13,92.3,18,36,54,22,9,7,19,15
NYK,W,113,43,85,50.6,7,21,33.3,20,25,80,11,34,45,26,9,6,15,21
HOU,L,100,30,77,39,11,40,27.5,29,36,80.6,7,28,35,17,5,4,12,19
OKC,L,90,29,79,36.7,13,48,27.1,19,27,70.4,6,32,38,20,6,4,15,15
NOP,L,116,44,101,43.6,9,27,33.3,19,24,79.2,16,41,57,26,5,4,18,20
DET,L,115,43,98,43.9,17,40,42.5,12,12,100,6,25,31,27,9,5,8,17
MEM,L,94,39,95,41.1,9,33,27.3,7,8,87.5,14,36,50,23,6,3,11,18
PHX,L,107,37,75,49.3,10,33,30.3,23,28,82.1,7,33,40,23,4,3,13,22
BOS,W,122,49,87,56.3,15,33,45.5,9,13,69.2,12,29,41,35,4,5,17,22
WAS,W,123,43,104,41.3,12,33,36.4,25,34,73.5,13,36,49,27,9,3,7,22
BKN,L,122,40,81,49.4,14,32,43.8,28,31,90.3,7,44,51,25,5,9,20,24
POR,L,122,41,98,41.8,14,43,32.6,26,33,78.8,12,28,40,16,7,2,12,27
DET,L,120,41,86,47.7,16,36,44.4,22,25,88,8,25,33,29,8,7,9,16
CHI,W,118,39,85,45.9,13,37,35.1,27,30,90,11,37,48,16,11,2,16,24
DEN,W,124,45,92,48.9,19,45,42.2,15,21,71.4,13,30,43,34,6,4,15,11
LAC,W,112,40,83,48.2,17,29,58.6,15,19,78.9,8,29,37,24,5,2,10,22
GSW,W,137,49,88,55.7,13,34,38.2,26,34,76.5,11,42,53,23,4,7,15,24
MIN,L,109,44,85,51.8,10,31,32.3,11,16,68.8,9,27,36,30,11,6,14,17
UTA,W,130,49,89,55.1,21,41,51.2,11,19,57.9,9,48,57,29,4,11,19,18
DAL,L,108,39,89,43.8,11,42,26.2,19,27,70.4,11,30,41,23,6,4,15,27
LAL,W,108,41,89,46.1,12,35,34.3,14,19,73.7,12,37,49,24,9,5,10,15
SAS,L,109,44,105,41.9,6,19,31.6,15,21,71.4,14,31,45,23,13,4,7,16
ORL,L,99,40,108,37,10,38,26.3,9,12,75,15,40,55,21,7,1,6,18
NYK,W,106,42,83,50.6,12,27,44.4,10,13,76.9,10,41,51,23,4,3,15,16
CLE,W,96,38,91,41.8,7,29,24.1,13,17,76.5,15,31,46,19,10,2,15,21
HOU,W,102,36,81,44.4,13,41,31.7,17,23,73.9,6,42,48,15,10,10,13,22
CHA,L,112,38,92,41.3,13,35,37.1,23,26,88.5,14,26,40,34,15,5,12,18
IND,L,102,34,84,40.5,19,50,38,15,18,83.3,5,27,32,22,6,4,8,21
ATL,L,91,35,85,41.2,11,32,34.4,10,19,52.6,15,33,48,22,9,5,20,20
TOR,L,116,38,91,41.8,14,48,29.2,26,27,96.3,10,30,40,21,6,4,9,29
OKC,W,108,38,86,44.2,13,41,31.7,19,21,90.5,6,46,52,22,5,5,10,17
SAC,L,94,35,90,38.9,9,28,32.1,15,21,71.4,14,33,47,11,5,4,14,21
NOP,W,120,35,83,42.2,14,38,36.8,36,47,76.6,14,36,50,26,6,7,12,18
PHI,W,127,47,79,59.5,16,35,45.7,17,24,70.8,7,38,45,35,10,7,21,17
ATL,W,114,43,93,46.2,16,39,41,12,14,85.7,10,38,48,24,8,3,9,20
GSW,L,98,31,79,39.2,7,35,20,29,33,87.9,3,41,44,19,4,9,15,28
DET,W,96,36,88,40.9,11,34,32.4,13,20,65,12,36,48,18,9,2,19,16
LAL,W,109,41,101,40.6,14,33,42.4,13,16,81.3,16,42,58,27,8,7,13,20
WAS,W,130,49,89,55.1,16,33,48.5,16,21,76.2,8,35,43,35,9,3,16,19
CHI,L,96,38,87,43.7,6,26,23.1,14,20,70,6,36,42,18,10,6,20,21
MIN,L,109,42,88,47.7,13,36,36.1,12,21,57.1,11,32,43,17,9,3,20,22
POR,W,123,40,92,43.5,20,43,46.5,23,30,76.7,8,43,51,23,11,3,10,27
MIA,L,83,29,78,37.2,7,33,21.2,18,25,72,5,36,41,20,10,2,14,24
LAC,L,100,33,85,38.8,13,33,39.4,21,24,87.5,12,31,43,19,6,8,8,16
DAL,W,93,32,78,41,12,37,32.4,17,23,73.9,4,45,49,18,9,3,16,25
PHX,W,106,37,76,48.7,13,35,37.1,19,21,90.5,8,29,37,24,1,4,17,20
CHA,L,93,35,86,40.7,9,31,29,14,21,66.7,10,32,42,23,9,4,18,15
MIL,W,126,42,85,49.4,22,45,48.9,20,30,66.7,5,39,44,27,16,6,17,19
MEM,W,108,43,90,47.8,14,39,35.9,8,10,80,10,38,48,34,10,6,15,18
SAS,L,103,36,85,42.4,13,34,38.2,18,26,69.2,8,37,45,23,3,8,13,20
UTA,W,106,41,89,46.1,15,42,35.7,9,14,64.3,13,33,46,28,3,3,13,20
BKN,L,96,35,86,40.7,7,37,18.9,19,23,82.6,10,35,45,19,6,6,15,16
DEN,L,103,39,86,45.3,12,29,41.4,13,16,81.3,8,30,38,28,7,1,11,25
BOS,L,93,39,83,47,8,31,25.8,7,14,50,7,37,44,20,12,11,19,20
PHX,W,106,41,84,48.8,17,33,51.5,7,10,70,5,36,41,26,5,6,15,17
NOP,W,113,44,91,48.4,13,36,36.1,12,19,63.2,14,44,58,23,9,4,13,16
PHI,W,116,44,91,48.4,15,33,45.5,13,15,86.7,7,47,54,23,7,10,14,23
CLE,L,99,37,82,45.1,12,23,52.2,13,24,54.2,11,32,43,22,5,6,18,22
OKC,L,80,30,80,37.5,15,48,31.3,5,15,33.3,7,33,40,24,6,3,19,20
SAC,L,119,45,96,46.9,11,33,33.3,18,24,75,14,31,45,23,11,5,15,21
CHI,W,133,50,92,54.3,14,36,38.9,19,25,76,9,35,44,34,9,3,15,27
NYK,L,83,32,88,36.4,3,36,8.3,16,20,80,9,39,48,21,6,3,15,21
ORL,L,92,33,95,34.7,7,28,25,19,21,90.5,10,38,48,17,2,5,11,15
HOU,W,122,45,86,52.3,13,36,36.1,19,25,76,10,35,45,26,10,6,18,14
IND,W,119,42,87,48.3,16,35,45.7,19,24,79.2,9,35,44,28,12,1,14,22
UTA,L,95,35,84,41.7,12,34,35.3,13,19,68.4,10,36,46,16,8,3,13,15
WAS,L,130,42,84,50,14,29,48.3,32,41,78,9,28,37,27,8,4,14,27
TOR,W,100,34,83,41,17,52,32.7,15,21,71.4,9,44,53,21,7,6,16,22
MIL,L,108,40,102,39.2,16,41,39,12,13,92.3,16,31,47,26,14,6,13,25
SAS,L,107,40,87,46,10,24,41.7,17,23,73.9,7,32,39,25,8,4,10,18
LAC,W,128,47,95,49.5,18,38,47.4,16,22,72.7,11,36,47,30,13,6,10,25
POR,L,105,32,76,42.1,12,38,31.6,29,34,85.3,5,36,41,14,5,4,17,17
DAL,L,99,34,87,39.1,12,42,28.6,19,33,57.6,13,26,39,24,10,6,14,16
ATL,L,141,47,99,47.5,18,46,39.1,29,35,82.9,17,37,54,27,5,2,12,19
LAL,W,121,46,82,56.1,14,26,53.8,15,20,75,7,40,47,25,4,3,17,24
BKN,W,145,54,100,54,19,41,46.3,18,23,78.3,9,31,40,30,6,3,8,24
MIA,W,119,40,82,48.8,15,39,38.5,24,29,82.8,10,42,52,25,5,5,22,18
CHA,W,118,43,84,51.2,15,34,44.1,17,21,81,12,38,50,30,6,6,23,28
BOS,W,126,49,91,53.8,16,39,41,12,14,85.7,10,32,42,27,17,11,16,21
MEM,L,107,40,93,43,9,33,27.3,18,25,72,14,32,46,26,8,3,22,13
MIA,L,97,37,79,46.8,11,37,29.7,12,18,66.7,3,27,30,23,9,6,21,18
CLE,L,86,32,88,36.4,7,32,21.9,15,22,68.2,14,29,43,22,13,10,13,17
BOS,W,116,40,80,50,9,22,40.9,27,37,73,12,31,43,21,10,3,14,16
PHX,W,111,37,84,44,19,47,40.4,18,19,94.7,12,31,43,24,7,4,10,18
MIN,L,101,37,89,41.6,13,38,34.2,14,17,82.4,11,28,39,22,7,6,14,15
IND,L,111,43,84,51.2,12,33,36.4,13,16,81.3,4,32,36,27,9,5,14,25
ORL,W,118,49,96,51,7,22,31.8,13,16,81.3,12,34,46,26,12,2,11,23
PHI,W,100,32,84,38.1,8,31,25.8,28,33,84.8,9,45,54,21,10,10,18,15
DET,L,106,35,92,38,13,35,37.1,23,29,79.3,16,29,45,21,8,6,15,26
SAC,W,125,46,94,48.9,16,33,48.5,17,22,77.3,12,25,37,33,9,2,10,18
TOR,L,93,32,90,35.6,17,45,37.8,12,14,85.7,10,37,47,21,12,7,19,28
CHI,W,115,38,87,43.7,15,36,41.7,24,32,75,5,32,37,26,7,1,14,23
WAS,L,107,37,84,44,10,37,27,23,26,88.5,8,39,47,25,6,6,19,28
OKC,L,107,43,87,49.4,11,34,32.4,10,19,52.6,10,37,47,20,3,7,20,18
NYK,W,95,34,79,43,14,25,56,13,21,61.9,14,41,55,23,9,6,25,21
DEN,L,115,44,81,54.3,11,28,39.3,16,20,80,7,32,39,27,7,5,19,18
NOP,L,86,37,77,48.1,3,24,12.5,9,18,50,7,34,41,18,8,3,16,14
LAC,W,124,47,88,53.4,16,31,51.6,14,16,87.5,7,39,46,32,6,10,13,21
MIL,W,144,51,92,55.4,29,51,56.9,13,15,86.7,10,35,45,32,14,2,17,22
GSW,W,116,38,76,50,14,33,42.4,26,36,72.2,4,36,40,21,8,8,19,28
LAL,L,107,41,87,47.1,10,27,37,15,18,83.3,6,35,41,20,6,5,14,14
POR,W,115,43,92,46.7,16,46,34.8,13,15,86.7,7,38,45,27,9,6,9,16
DET,L,120,43,98,43.9,13,41,31.7,21,24,87.5,17,31,48,24,7,4,8,25
HOU,L,111,39,86,45.3,16,39,41,17,23,73.9,5,33,38,25,8,3,15,25
OKC,L,109,40,86,46.5,15,38,39.5,14,19,73.7,7,30,37,21,9,5,15,16
MEM,W,116,42,98,42.9,10,29,34.5,22,29,75.9,16,40,56,20,10,4,19,17
UTA,W,110,43,86,50,13,36,36.1,11,14,78.6,8,35,43,24,9,6,16,19
DEN,W,124,46,87,52.9,14,31,45.2,18,32,56.3,11,41,52,31,8,7,14,18
ATL,W,128,40,82,48.8,20,42,47.6,28,32,87.5,8,37,45,30,5,7,13,22
BKN,L,111,41,100,41,14,42,33.3,15,17,88.2,13,37,50,28,13,6,17,20
NYK,W,130,46,85,54.1,16,27,59.3,22,27,81.5,8,38,46,27,5,4,15,23
DAL,W,124,43,87,49.4,14,41,34.1,24,27,88.9,11,43,54,25,10,2,6,14
BKN,L,104,35,82,42.7,17,47,36.2,17,25,68,6,40,46,23,4,5,19,17
IND,W,108,45,88,51.1,7,26,26.9,11,15,73.3,8,29,37,23,11,7,16,20
NOP,W,98,36,94,38.3,5,24,20.8,21,29,72.4,13,43,56,15,11,4,8,16
MIL,L,110,41,95,43.2,7,38,18.4,21,29,72.4,17,27,44,24,7,5,11,21
PHI,L,94,33,79,41.8,12,37,32.4,16,22,72.7,8,31,39,24,9,5,21,19
SAC,L,100,36,76,47.4,10,23,43.5,18,25,72,3,36,39,21,5,4,15,23
BOS,L,107,40,79,50.6,9,23,39.1,18,24,75,6,34,40,21,13,7,18,17
ORL,W,120,37,85,43.5,9,25,36,37,38,97.4,11,34,45,19,6,3,10,14
CHA,W,106,43,96,44.8,10,34,29.4,10,17,58.8,13,39,52,35,8,3,12,25
GSW,W,129,42,104,40.4,18,47,38.3,27,30,90,10,31,41,25,17,4,12,23
PHX,W,116,46,94,48.9,14,35,40,10,11,90.9,8,36,44,34,6,3,9,20
CLE,W,118,48,91,52.7,9,23,39.1,13,16,81.3,11,34,45,31,13,6,16,22
LAC,L,73,26,76,34.2,4,33,12.1,17,20,85,5,31,36,13,2,2,12,19
WAS,L,113,47,97,48.5,8,32,25,11,13,84.6,13,34,47,27,6,4,13,26
MIN,L,91,38,103,36.9,6,35,17.1,9,14,64.3,17,31,48,24,11,6,17,24
SAS,L,95,38,89,42.7,11,36,30.6,8,8,100,4,43,47,26,5,10,15,23
CHI,L,128,44,86,51.2,17,41,41.5,23,31,74.2,7,47,54,27,4,6,24,21
LAL,W,127,50,90,55.6,13,35,37.1,14,18,77.8,5,41,46,32,6,14,17,19
MEM,L,112,37,93,39.8,13,43,30.2,25,29,86.2,9,37,46,20,5,6,10,27
HOU,L,126,45,87,51.7,11,35,31.4,25,32,78.1,10,32,42,27,5,5,16,22
PHX,L,103,41,98,41.8,11,44,25,10,13,76.9,10,30,40,25,8,5,11,23
CLE,W,128,48,99,48.5,13,30,43.3,19,30,63.3,7,44,51,29,13,4,18,24
WAS,L,120,46,95,48.4,13,37,35.1,15,28,53.6,7,36,43,28,5,3,14,25
TOR,L,114,44,96,45.8,15,41,36.6,11,15,73.3,10,36,46,32,8,9,11,23
DET,L,119,40,98,40.8,16,45,35.6,23,32,71.9,10,47,57,24,9,5,22,20
ATL,W,122,38,89,42.7,13,36,36.1,33,38,86.8,13,41,54,23,4,5,15,20
UTA,L,111,36,94,38.3,10,34,29.4,29,37,78.4,19,38,57,15,5,4,18,20
ORL,W,130,48,95,50.5,11,31,35.5,23,29,79.3,11,43,54,25,8,0,13,21
NYK,L,89,32,83,38.6,8,29,27.6,17,23,73.9,13,30,43,19,6,4,16,23
POR,W,128,47,102,46.1,19,45,42.2,15,23,65.2,11,34,45,27,10,5,13,20
MIN,W,116,45,101,44.6,13,29,44.8,13,18,72.2,12,28,40,21,9,5,9,28
