team,res,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,stl,blk,tov,pf
GSW,W,123,45,85,52.9,15,34,44.1,18,23,78.3,11,35,46,32,11,5,21,28
DAL,L,104,42,91,46.2,12,35,34.3,8,9,88.9,4,32,36,22,4,7,8,12
ATL,L,128,45,94,47.9,13,33,39.4,25,28,89.3,12,25,37,29,3,7,9,18
PHX,L,97,36,95,37.9,15,43,34.9,10,12,83.3,9,40,49,19,7,3,13,16
DEN,W,109,42,92,45.7,14,43,32.6,11,11,100,12,37,49,29,14,4,13,12
ORL,L,107,40,96,41.7,10,26,38.5,17,18,94.4,17,30,47,25,8,8,14,23
BKN,W,132,52,98,53.1,11,32,34.4,17,20,85,11,25,36,29,7,10,9,25
OKC,W,102,38,85,44.7,16,40,40,10,14,71.4,5,43,48,21,7,8,14,19
DET,L,107,37,82,45.1,11,27,40.7,22,29,75.9,13,27,40,29,7,5,22,21
LAL,L,106,41,86,47.7,8,24,33.3,16,25,64,6,31,37,20,5,2,11,20
MIL,W,115,40,93,43,16,44,36.4,19,26,73.1,14,45,59,30,9,3,14,14
NYK,L,94,36,83,43.4,10,27,37,12,17,70.6,9,35,44,15,6,4,11,21
LAC,L,99,36,89,40.4,8,26,30.8,19,22,86.4,13,33,46,23,11,4,12,19
UTA,W,108,37,92,40.2,15,48,31.3,19,22,86.4,17,36,53,24,6,5,6,14
ATL,W,108,37,80,46.3,10,26,38.5,24,25,96,9,37,46,20,7,9,14,17
HOU,W,107,37,88,42,12,37,32.4,21,29,72.4,8,36,44,16,13,4,13,17
WAS,L,88,33,85,38.8,5,26,19.2,17,23,73.9,12,38,50,19,7,3,20,22
DEN,W,117,40,79,50.6,15,35,42.9,22,28,78.6,14,35,49,25,9,4,16,20
POR,L,122,46,98,46.9,14,41,34.1,16,21,76.2,15,35,50,17,6,3,8,23
BKN,W,98,34,85,40,11,38,28.9,19,22,86.4,6,43,49,24,6,5,7,18
MIA,L,85,31,84,36.9,11,43,25.6,12,17,70.6,8,37,45,20,3,7,12,21
TOR,L,114,38,93,40.9,14,38,36.8,24,27,88.9,13,26,39,24,9,6,10,25
ORL,W,117,42,88,47.7,19,37,51.4,14,22,63.6,10,39,49,31,10,3,15,21
OKC,W,125,43,84,51.2,18,40,45,21,35,60,9,34,43,25,5,6,8,19
IND,W,129,40,78,51.3,12,29,41.4,37,45,82.2,7,38,45,26,5,8,13,25
DET,W,119,35,70,50,17,38,44.7,32,38,84.2,11,36,47,22,6,6,18,20
PHI,L,104,40,94,42.6,9,28,32.1,15,20,75,13,23,36,15,12,3,9,26
DAL,L,113,41,84,48.8,11,32,34.4,20,24,83.3,8,26,34,26,11,4,11,22
MIN,L,108,39,94,41.5,8,24,33.3,22,25,88,16,31,47,26,8,5,18,28
LAL,W,115,42,87,48.3,10,32,31.3,21,28,75,15,25,40,21,7,7,13,23
CHA,L,108,39,89,43.8,11,38,28.9,19,27,70.4,11,30,41,22,5,6,14,20
BOS,W,119,44,87,50.6,15,29,51.7,16,20,80,6,38,44,28,9,6,12,18
GSW,W,130,44,89,49.4,14,30,46.7,28,37,75.7,15,31,46,21,13,10,15,19
CLE,L,108,40,86,46.5,9,21,42.9,19,22,86.4,15,29,44,19,8,3,17,25
CHI,L,103,41,88,46.6,17,39,43.6,4,10,40,9,32,41,28,4,7,18,16
LAC,W,108,41,92,44.6,14,46,30.4,12,16,75,8,38,46,26,4,2,10,10
CHA,W,107,42,88,47.7,14,36,38.9,9,16,56.3,9,34,43,28,10,5,12,17
ATL,L,115,42,83,50.6,14,39,35.9,17,22,77.3,5,22,27,27,8,4,9,23
IND,L,102,35,87,40.2,13,39,33.3,19,22,86.4,12,35,47,23,10,8,18,23
WAS,L,101,39,92,42.4,14,42,33.3,9,14,64.3,12,38,50,23,5,5,14,14
BOS,W,141,52,93,55.9,14,28,50,23,27,85.2,13,42,55,26,14,8,15,23
